Dataset Index,Prediction value of prediction target,COL_____,Control_mode,room_temp,water_temp,middle,B7,B8,COL____,PV,SV,COL____2,COL____3,COL____4,power,date_time
1,0.3424,RA,H,25.5,31.7,25,24.9,24.6,48.7,31.2,29.99,405.51,0.68,0.4,0.41,2022/3/1 00:00
2,0.288,RA,H,25.3,32.4,24.5,24.6,24.7,49,32,30.77,405.02,0.68,0.4,0.4,2022/3/1 01:00
3,0.2643,RA,H,25.4,33,24.8,24.4,24.8,49.1,32.4,31.29,405.72,0.68,0.4,0.4,2022/3/1 02:00
4,0.25,RA,H,25.3,33.4,24.7,24.2,24.8,49.2,32.8,31.72,405.79,0.68,0.4,0.4,2022/3/1 03:00
5,0.2417,RA,H,25.2,33.7,24.2,24.1,24.8,49.3,33.2,32.06,405.54,0.68,0.4,0.4,2022/3/1 04:00
6,0.2427,RA,H,25.3,33.7,24.9,25.1,24.8,49.4,33.2,32.01,404.79,0.68,0.4,0.4,2022/3/1 05:00
7,0.2427,RA,H,25.7,33.9,24.3,24.8,24.8,49.5,33.4,32.01,405.52,0.68,0.4,0.4,2022/3/1 06:00
8,0.2356,RA,H,25.5,34.2,24.6,24.4,25,49.5,33.6,32.39,402.86,0.67,0.39,0.4,2022/3/1 07:00
9,0.2347,RA,H,25.2,34.1,25,24.3,25,47.6,33.6,32.45,405.2,0.68,0.4,0.4,2022/3/1 08:00
10,0.2392,RA,H,26.1,34.3,24.1,24.8,25.6,46.7,33.8,32.18,401.45,0.67,0.39,0.39,2022/3/1 09:00
11,3.7547,RA,C,26.5,27.4,25.4,26.4,26.4,46.5,27.6,27.86,402.26,56.66,34.65,14.03,2022/3/1 10:00
12,4.6358,RA,C,27.2,26.1,25.8,27,26.4,45.3,26,26.19,401.13,0.69,0.4,7.12,2022/3/1 11:00
13,5.2855,RA,C,27.4,25.2,26.2,27.4,26.5,44.8,25,25.2,404.76,0.7,0.41,6.8,2022/3/1 12:00
14,5.5666,RA,C,27.6,24.8,26.6,27.9,27.1,44.6,24.6,24.71,398.34,0.69,0.4,6.21,2022/3/1 13:00
15,5.6595,RA,C,27.9,24.8,26.8,27.9,27.4,44.4,24.6,24.54,398.27,0.69,0.4,5.76,2022/3/1 14:00
16,5.5831,RA,C,27.8,24.9,27,28.3,27.6,44.3,24.6,24.68,400.67,32.49,17.02,5.94,2022/3/1 15:00
17,5.5666,RA,C,27.6,24.8,26.9,28.4,27.6,44.3,24.6,24.71,401.64,50.52,30.2,6.16,2022/3/1 16:00
18,5.735,RA,C,27.4,24.3,26.8,28.5,27.7,44.8,24.8,24.4,408.75,51.79,31.38,6.15,2022/3/1 17:00
19,5.9219,RA,C,27.5,24,26.7,28.8,27.5,46,24.4,24.05,401.71,52.91,32.03,6.4,2022/3/1 18:00
20,5.9006,RA,C,27.4,24,26.4,28.8,26.9,46.7,24.2,24.09,401.74,53.04,32.13,6,2022/3/1 19:00
21,5.7243,RA,C,27,24.1,25.9,28.4,26.5,46.8,24.4,24.42,403.23,52.53,31.83,5.56,2022/3/1 20:00
22,5.3982,RA,C,26.8,24.6,25.4,27.9,26,46.9,24.8,25.01,404.36,50.58,30.4,4.72,2022/3/1 21:00
23,5.2733,RA,C,26.7,24.8,25,27.5,25.5,46.8,24.6,25.22,408.04,0.71,0.42,4.84,2022/3/1 22:00
24,5.421,RA,C,26.8,24.6,24.8,27.1,25.2,46.8,24.4,24.97,408.21,0.71,0.42,5.65,2022/3/1 23:00
25,5.5223,RA,C,26.6,24.3,24.6,26.8,24.9,46.8,24,24.79,408.23,0.71,0.42,5.59,2022/3/2 00:00
26,5.4944,RA,C,26,24,24.3,26.5,24.6,46.7,23.8,24.84,408.48,0.73,0.43,5.52,2022/3/2 01:00
27,4.7162,RA,C,26,25.3,24.1,26.3,24.4,46.8,25,26.07,410.12,0.73,0.43,2.98,2022/3/2 02:00
28,1.7801,RA,H,26.1,27.9,24.3,26.2,24.6,47.1,27.6,26.02,410.44,0.69,0.41,0.41,2022/3/2 03:00
29,0.8029,RA,H,26,29.7,24.9,26.1,24.9,47.6,29.2,27.8,411.03,0.69,0.41,0.41,2022/3/2 04:00
30,0.4802,RA,H,26,31.1,24.4,26,25.2,48.1,30.6,29.16,409.95,0.69,0.41,0.41,2022/3/2 05:00
31,0.3143,RA,H,25.6,32.1,25,25.9,25.4,48.4,31.6,30.33,408.49,0.68,0.41,0.41,2022/3/2 06:00
32,3.3371,RA,C,25.3,28.8,24.8,26.2,25,48.2,28.4,29.79,408.06,0.71,0.42,8.24,2022/3/2 07:00
33,3.9,RA,C,26.8,27.2,24.7,26.1,25.1,46.3,26.8,27.46,399.78,0.71,0.41,5.72,2022/3/2 08:00
34,3.8164,RA,C,27.1,27.6,25.3,26.3,25.3,45,27.2,27.67,399.88,0.71,0.41,3.27,2022/3/2 09:00
35,4.1466,RA,C,27.4,27,25.9,26.7,25.8,44.8,27.2,26.97,393.83,78.87,48.81,5.75,2022/3/2 10:00
36,4.8776,RA,C,27.3,25.8,26,26.9,26,44.5,25.6,25.83,393.34,0.69,0.4,6.42,2022/3/2 11:00
37,5.1349,RA,C,26.8,25.1,25.6,26.7,25.6,44,24.8,25.44,405.24,0.72,0.42,6.4,2022/3/2 12:00
38,5.6214,RA,C,27.1,24.4,25.3,26.7,25.8,43.8,24.2,24.61,400.18,0.71,0.41,7.12,2022/3/2 13:00
39,5.858,RA,C,27.2,24,25.3,26.7,26,43.8,23.8,24.17,396.31,0.7,0.4,7.75,2022/3/2 14:00
40,6.0608,RA,C,27.2,23.6,25.3,26.9,26.2,43.7,23.4,23.79,394.82,0.7,0.4,6.91,2022/3/2 15:00
41,5.8313,RA,C,27.2,24,25.3,27.2,26.4,43.7,24.4,24.22,393.12,78.46,48.43,6.57,2022/3/2 16:00
42,5.375,RA,C,27,24.8,25.2,27.2,26.1,43.7,24.6,25.05,403.77,0.72,0.42,4.94,2022/3/2 17:00
43,5.1733,RA,C,25.3,24.2,24.9,26.9,26,43.8,24,25.38,402.4,0.71,0.41,6.06,2022/3/2 18:00
44,5.2548,RA,C,24.6,23.7,24.6,26.2,25.4,44.4,23.4,25.25,402.85,0.71,0.42,6.93,2022/3/2 19:00
45,4.5363,RA,C,24.2,24.6,24.6,26,25.2,44.4,24.6,26.34,399.38,52.7,31.69,3.9,2022/3/2 20:00
46,4.5693,RA,C,23.9,24.4,24.4,25.8,25,44.5,24.2,26.29,403.18,0.72,0.42,4.78,2022/3/2 21:00
47,4.9445,RA,C,23.7,23.7,23.3,25.5,24.7,44.3,23.6,25.73,405.15,0.72,0.42,5.54,2022/3/2 22:00
